121.3500 25.2000  0.0000  0.9000
121.3500 25.1850  0.0000  0.9000
121.3500 25.1700  0.0000  0.9000
121.3500 25.1550  0.0000  0.9000
121.3500 25.1400  0.0000  0.9000
121.3500 25.1250  0.0000  0.9000
121.3500 25.1100  0.0000  0.9000
121.3500 25.0950  0.0000  0.9000
121.3500 25.0800  0.0000  0.9000
121.3500 25.0650  0.0000  0.9000
121.3500 25.0500  0.0000  0.9000
121.3500 25.0350  0.0000  0.9000
121.3500 25.0200  0.0000  0.9000
121.3500 25.0050  0.0000  0.9000
121.3500 24.9900  0.0000  0.9000
121.3500 24.9750  0.0000  0.9000
121.3670 25.2000  0.0000  0.9000
121.3670 25.1850  0.0000  0.9000
121.3670 25.1700  0.0000  0.9000
121.3670 25.1550  0.0000  0.9000
121.3670 25.1400  0.0000  0.9000
121.3670 25.1250  0.0000  0.9000
121.3670 25.1100  0.0000  0.9000
121.3670 25.0950  0.0000  0.9000
121.3670 25.0800  0.0000  0.9000
121.3670 25.0650  0.0000  0.9000
121.3670 25.0500  0.0000  0.9000
121.3670 25.0350  0.0000  0.9000
121.3670 25.0200  0.0000  0.9000
121.3670 25.0050  0.0000  0.9000
121.3670 24.9900  0.0000  0.9000
121.3670 24.9750  0.0000  0.9000
121.3840 25.2000  0.0000  0.9000
121.3840 25.1850  0.0000  0.9000
121.3840 25.1700  0.0000  0.8982
121.3840 25.1550  0.0000  0.8954
121.3840 25.1400  0.0000  0.8922
121.3840 25.1250  0.0000  0.8908
121.3840 25.1100  0.0000  0.8921
121.3840 25.0950  0.0000  0.8949
121.3840 25.0800  0.0000  0.8979
121.3840 25.0650  0.0000  0.8993
121.3840 25.0500  0.0000  0.8988
121.3840 25.0350  0.0000  0.8996
121.3840 25.0200  0.0000  0.9057
121.3840 25.0050  0.0000  0.9133
121.3840 24.9900  0.0000  0.9065
121.3840 24.9750  0.0000  0.9000
121.4010 25.2000  0.0000  0.9000
121.4010 25.1850  0.0000  0.9000
121.4010 25.1700  0.0000  0.8961
121.4010 25.1550  0.0000  0.8906
121.4010 25.1400  0.0000  0.8859
121.4010 25.1250  0.0000  0.8867
121.4010 25.1100  0.0000  0.8919
121.4010 25.0950  0.0000  0.8956
121.4010 25.0800  0.0000  0.8966
121.4010 25.0650  0.0000  0.8914
121.4010 25.0500  0.0000  0.8828
121.4010 25.0350  0.0000  0.8804
121.4010 25.0200  0.0000  0.8644
121.4010 25.0050  0.0000  0.9635
121.4010 24.9900  0.0000  0.9416
121.4010 24.9750  0.0000  0.8940
121.4180 25.2000  0.0000  0.9000
121.4180 25.1850  0.0000  0.9000
121.4180 25.1700  0.0000  0.8956
121.4180 25.1550  0.0000  0.8899
121.4180 25.1400  0.0000  0.8898
121.4180 25.1250  0.0000  0.9020
121.4180 25.1100  0.0000  0.9184
